site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MH-MHB,2020-12-01,19.8,24.9,15.0,72,93,0.0,0.0,9.7,80,15.78,3.19,878.2,14.2,1267.0,17.891035,73.660194
MH-MHB,2020-12-02,19.2,24.5,14.2,66,91,0.0,0.0,12.8,77,18.84,3.65,876.9,12.4,1267.0,17.891035,73.660194
MH-MHB,2020-12-03,18.5,24.7,13.0,50,67,0.0,0.0,13.0,86,19.24,4.0,875.9,7.5,1267.0,17.891035,73.660194
MH-MHB,2020-12-04,18.4,24.9,13.9,44,60,0.0,0.0,13.4,89,19.38,4.15,875.0,5.5,1267.0,17.891035,73.660194
MH-MHB,2020-12-05,18.2,24.5,12.5,46,64,0.0,0.0,12.6,90,19.34,4.1,875.4,6.0,1267.0,17.891035,73.660194
MH-MHB,2020-12-06,18.4,23.9,15.2,41,50,0.0,0.0,18.5,90,19.35,4.66,876.3,4.7,1267.0,17.891035,73.660194
MH-MHB,2020-12-07,18.7,24.3,13.6,48,65,0.0,0.0,17.7,89,19.43,4.43,877.7,7.1,1267.0,17.891035,73.660194
MH-MHB,2020-12-08,19.7,25.1,16.3,57,69,0.0,0.0,22.0,96,18.69,4.37,878.1,10.7,1267.0,17.891035,73.660194
MH-MHB,2020-12-09,19.8,24.4,15.5,62,88,0.0,0.0,16.2,96,16.11,3.4,877.3,12.0,1267.0,17.891035,73.660194
MH-MHB,2020-12-10,20.1,25.2,16.0,65,90,0.2,0.2,10.1,100,13.74,2.96,877.0,12.8,1267.0,17.891035,73.660194
MH-MHB,2020-12-11,18.5,22.2,16.1,88,97,1.1,1.1,7.2,281,10.23,1.91,876.8,16.4,1267.0,17.891035,73.660194
MH-MHB,2020-12-12,19.3,24.7,15.4,76,94,0.1,0.1,10.1,135,16.21,3.18,876.2,14.2,1267.0,17.891035,73.660194
MH-MHB,2020-12-13,19.0,23.3,15.5,78,94,0.3,0.3,9.8,233,10.41,2.04,875.4,14.8,1267.0,17.891035,73.660194
MH-MHB,2020-12-14,17.3,18.9,15.1,90,100,7.7,7.7,4.9,114,4.67,0.9,874.8,15.5,1267.0,17.891035,73.660194
MH-MHB,2020-12-15,19.0,24.3,15.0,71,91,0.0,0.0,9.0,82,16.18,3.13,876.6,13.2,1267.0,17.891035,73.660194
MH-MHB,2020-12-16,19.0,24.4,15.1,63,79,0.0,0.0,12.3,82,17.79,3.54,877.6,11.5,1267.0,17.891035,73.660194
MH-MHB,2020-12-17,18.5,24.2,13.5,66,88,0.0,0.0,15.0,87,17.25,3.31,877.7,11.8,1267.0,17.891035,73.660194
MH-MHB,2020-12-18,18.8,24.1,14.8,59,71,0.0,0.0,14.1,82,17.22,3.56,877.6,10.4,1267.0,17.891035,73.660194
MH-MHB,2020-12-19,18.0,23.6,14.6,58,70,0.0,0.0,17.5,94,18.38,3.84,877.6,9.3,1267.0,17.891035,73.660194
MH-MHB,2020-12-20,17.1,22.8,13.8,52,68,0.0,0.0,18.8,89,19.3,4.07,877.6,6.8,1267.0,17.891035,73.660194
MH-MHB,2020-12-21,16.8,23.1,12.4,44,55,0.0,0.0,17.3,93,19.3,4.24,876.4,4.2,1267.0,17.891035,73.660194
MH-MHB,2020-12-22,16.5,23.2,11.6,42,63,0.0,0.0,10.4,86,19.31,3.95,875.4,3.0,1267.0,17.891035,73.660194
MH-MHB,2020-12-23,16.5,23.5,10.9,49,65,0.0,0.0,9.0,79,18.95,3.74,874.2,5.3,1267.0,17.891035,73.660194
MH-MHB,2020-12-24,17.7,24.0,12.0,55,68,0.0,0.0,9.1,86,18.42,3.55,873.9,8.3,1267.0,17.891035,73.660194
MH-MHB,2020-12-25,18.5,24.3,14.3,59,69,0.0,0.0,12.0,96,18.2,3.72,875.2,10.0,1267.0,17.891035,73.660194
MH-MHB,2020-12-26,18.7,24.6,13.9,60,72,0.0,0.0,10.1,85,18.31,3.66,876.5,10.5,1267.0,17.891035,73.660194
MH-MHB,2020-12-27,18.9,24.5,14.1,65,86,0.0,0.0,9.4,350,17.99,3.47,876.3,11.7,1267.0,17.891035,73.660194
MH-MHB,2020-12-28,18.7,24.2,14.2,64,82,0.0,0.0,9.5,328,18.62,3.54,875.5,11.2,1267.0,17.891035,73.660194
MH-MHB,2020-12-29,18.4,24.2,14.1,63,87,0.0,0.0,8.7,109,18.78,3.56,875.0,10.5,1267.0,17.891035,73.660194
MH-MHB,2020-12-30,18.1,24.4,12.9,59,81,0.0,0.0,10.5,92,18.87,3.6,875.0,9.2,1267.0,17.891035,73.660194
MH-MHB,2020-12-31,19.1,24.6,14.8,63,78,0.0,0.0,16.6,100,17.15,3.66,875.9,11.6,1267.0,17.891035,73.660194
MH-MHB,2021-01-01,19.3,23.9,15.3,73,87,0.2,0.2,11.3,93,14.57,2.86,876.4,14.0,1267.0,17.891035,73.660194
MH-MHB,2021-01-02,18.6,23.9,14.5,70,90,0.0,0.0,11.4,90,16.62,3.16,876.4,12.7,1267.0,17.891035,73.660194
MH-MHB,2021-01-03,18.3,23.6,13.5,59,84,0.4,0.4,11.4,115,16.89,3.4,874.8,9.9,1267.0,17.891035,73.660194
MH-MHB,2021-01-04,17.9,22.0,15.7,82,93,4.8,4.8,14.0,135,13.56,2.47,874.6,14.6,1267.0,17.891035,73.660194
MH-MHB,2021-01-05,18.0,21.8,15.0,83,95,2.1,2.1,11.9,101,10.93,2.05,875.4,15.0,1267.0,17.891035,73.660194
MH-MHB,2021-01-06,18.7,23.6,15.0,80,100,5.1,5.1,10.9,108,14.4,2.7,875.4,14.7,1267.0,17.891035,73.660194
MH-MHB,2021-01-07,18.0,22.5,15.4,89,99,11.1,11.1,10.4,89,10.58,1.92,873.9,16.1,1267.0,17.891035,73.660194
MH-MHB,2021-01-08,18.1,21.4,16.1,88,97,1.4,1.4,11.4,108,7.43,1.43,873.3,16.0,1267.0,17.891035,73.660194
MH-MHB,2021-01-09,18.7,23.2,15.8,85,98,3.6,3.6,10.9,113,12.14,2.31,874.2,16.0,1267.0,17.891035,73.660194
MH-MHB,2021-01-10,19.3,24.3,15.6,80,100,0.9,0.9,15.6,97,15.3,2.88,875.2,15.5,1267.0,17.891035,73.660194
MH-MHB,2021-01-11,19.6,24.6,15.6,69,87,0.9,0.9,13.8,84,16.79,3.26,876.3,13.6,1267.0,17.891035,73.660194
MH-MHB,2021-01-12,20.1,25.3,15.9,56,71,0.0,0.0,14.2,82,17.96,3.88,876.9,10.7,1267.0,17.891035,73.660194
MH-MHB,2021-01-13,19.8,25.3,15.6,55,71,0.0,0.0,15.2,65,18.03,3.91,876.4,10.2,1267.0,17.891035,73.660194
MH-MHB,2021-01-14,20.2,25.7,15.3,56,76,0.0,0.0,8.4,50,18.34,3.67,875.9,10.7,1267.0,17.891035,73.660194
MH-MHB,2021-01-15,19.4,25.0,14.9,60,87,0.0,0.0,9.8,107,19.24,3.86,875.0,10.8,1267.0,17.891035,73.660194
MH-MHB,2021-01-16,19.7,26.0,13.9,60,79,0.0,0.0,11.1,81,17.28,3.58,874.0,11.4,1267.0,17.891035,73.660194
MH-MHB,2021-01-17,20.8,25.1,16.1,62,77,0.0,0.0,10.7,274,16.14,3.37,875.1,13.0,1267.0,17.891035,73.660194
MH-MHB,2021-01-18,20.6,25.4,16.7,66,83,0.1,0.1,9.7,41,15.46,3.25,876.3,13.7,1267.0,17.891035,73.660194
MH-MHB,2021-01-19,19.9,24.5,16.1,67,82,0.0,0.0,10.6,312,14.08,2.96,876.3,13.4,1267.0,17.891035,73.660194
MH-MHB,2021-01-20,19.8,25.4,15.1,64,81,0.0,0.0,11.5,318,19.01,3.79,876.9,12.4,1267.0,17.891035,73.660194
MH-MHB,2021-01-21,18.9,24.7,14.3,61,77,0.0,0.0,10.2,318,19.93,3.95,876.2,10.8,1267.0,17.891035,73.660194
MH-MHB,2021-01-22,19.3,26.0,13.2,57,78,0.0,0.0,7.3,48,20.19,3.91,875.8,10.1,1267.0,17.891035,73.660194
MH-MHB,2021-01-23,20.1,26.0,14.6,55,73,0.0,0.0,8.8,335,20.32,4.08,876.1,10.2,1267.0,17.891035,73.660194
MH-MHB,2021-01-24,20.3,25.1,14.8,54,75,0.0,0.0,10.0,325,20.46,4.18,877.0,10.4,1267.0,17.891035,73.660194
MH-MHB,2021-01-25,18.8,25.3,13.6,57,73,0.0,0.0,10.5,348,20.47,4.16,876.8,9.5,1267.0,17.891035,73.660194
MH-MHB,2021-01-26,18.9,24.3,14.3,52,67,0.0,0.0,11.2,328,20.44,4.25,876.4,8.6,1267.0,17.891035,73.660194
MH-MHB,2021-01-27,20.3,24.5,14.3,44,74,0.0,0.0,11.8,269,20.67,4.23,876.6,7.2,1267.0,17.891035,73.660194
MH-MHB,2021-01-28,20.2,24.7,14.5,45,72,0.0,0.0,11.8,296,20.75,4.15,876.9,7.1,1267.0,17.891035,73.660194
MH-MHB,2021-01-29,19.4,24.3,13.6,47,63,0.0,0.0,11.2,337,16.87,3.71,877.2,7.5,1267.0,17.891035,73.660194
MH-MHB,2021-01-30,18.8,24.7,13.2,49,64,0.0,0.0,10.6,19,19.18,4.1,876.6,7.4,1267.0,17.891035,73.660194
MH-MHB,2021-01-31,18.6,24.5,13.9,54,72,0.0,0.0,10.0,51,17.52,3.76,876.8,8.6,1267.0,17.891035,73.660194
MH-MHB,2021-02-01,19.3,24.2,14.4,53,68,0.0,0.0,17.8,96,17.03,3.87,878.5,9.1,1267.0,17.891035,73.660194
MH-MHB,2021-02-02,19.2,25.0,15.3,47,70,0.0,0.0,15.8,95,20.68,4.59,878.9,7.0,1267.0,17.891035,73.660194
MH-MHB,2021-02-03,17.9,24.1,11.6,43,68,0.0,0.0,14.2,91,21.42,4.45,877.6,4.3,1267.0,17.891035,73.660194
MH-MHB,2021-02-04,17.7,24.5,11.6,46,69,0.0,0.0,8.9,104,20.68,4.25,877.0,5.4,1267.0,17.891035,73.660194
MH-MHB,2021-02-05,18.3,23.4,13.7,49,66,0.0,0.0,12.4,312,21.15,4.33,876.8,7.0,1267.0,17.891035,73.660194
MH-MHB,2021-02-06,18.0,24.5,12.1,46,67,0.0,0.0,15.2,80,21.92,4.57,875.9,5.7,1267.0,17.891035,73.660194
MH-MHB,2021-02-07,18.1,24.2,13.1,41,57,0.0,0.0,16.6,85,22.21,4.86,877.1,4.3,1267.0,17.891035,73.660194
MH-MHB,2021-02-08,18.6,25.3,14.3,35,46,0.0,0.0,16.0,89,22.65,5.2,877.5,2.3,1267.0,17.891035,73.660194
