site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
RJ-KOT,2020-12-01,19.6,27.1,12.8,62,95,0.0,0.0,10.8,35,14.91,3.16,987.1,11.5,257.0,25.202108,75.90713
RJ-KOT,2020-12-02,20.3,27.7,12.6,59,95,0.0,0.0,9.7,13,14.92,3.1,985.9,11.0,257.0,25.202108,75.90713
RJ-KOT,2020-12-03,20.1,28.6,12.9,56,89,0.0,0.0,9.4,164,15.02,3.29,984.5,10.2,257.0,25.202108,75.90713
RJ-KOT,2020-12-04,21.2,29.7,14.6,51,74,0.0,0.0,11.2,173,14.78,3.38,982.9,10.0,257.0,25.202108,75.90713
RJ-KOT,2020-12-05,22.2,30.1,16.2,50,72,0.0,0.0,10.5,44,14.6,3.52,983.1,10.8,257.0,25.202108,75.90713
RJ-KOT,2020-12-06,21.9,29.1,15.3,55,79,0.0,0.0,8.7,329,14.49,3.39,985.4,11.7,257.0,25.202108,75.90713
RJ-KOT,2020-12-07,20.8,28.8,14.0,63,92,0.0,0.0,9.6,22,14.34,3.12,987.0,12.9,257.0,25.202108,75.90713
RJ-KOT,2020-12-08,21.7,30.3,15.4,60,86,0.0,0.0,9.9,126,14.37,3.3,986.6,12.8,257.0,25.202108,75.90713
RJ-KOT,2020-12-09,22.1,30.4,15.3,52,81,0.0,0.0,10.2,156,14.43,3.44,985.0,11.0,257.0,25.202108,75.90713
RJ-KOT,2020-12-10,21.5,29.6,15.5,51,74,0.0,0.0,10.1,116,14.33,3.41,984.0,10.5,257.0,25.202108,75.90713
RJ-KOT,2020-12-11,19.8,21.9,18.1,79,94,10.8,10.8,16.8,163,2.88,1.11,984.8,15.7,257.0,25.202108,75.90713
RJ-KOT,2020-12-12,20.4,25.7,16.5,76,95,0.1,0.1,9.0,136,12.42,2.46,984.7,15.6,257.0,25.202108,75.90713
RJ-KOT,2020-12-13,19.1,23.4,15.7,79,98,0.6,0.6,11.2,53,9.66,2.08,984.3,15.0,257.0,25.202108,75.90713
RJ-KOT,2020-12-14,17.7,21.3,15.2,65,83,0.2,0.2,12.4,49,6.79,2.1,985.1,10.9,257.0,25.202108,75.90713
RJ-KOT,2020-12-15,17.9,22.1,13.8,64,82,0.0,0.0,13.0,57,9.04,2.38,986.9,11.0,257.0,25.202108,75.90713
RJ-KOT,2020-12-16,16.2,22.3,11.6,66,89,0.0,0.0,11.7,46,14.09,2.88,989.2,9.3,257.0,25.202108,75.90713
RJ-KOT,2020-12-17,14.1,20.1,9.4,66,93,0.0,0.0,11.2,24,14.64,2.65,989.7,7.3,257.0,25.202108,75.90713
RJ-KOT,2020-12-18,13.0,19.9,6.9,55,89,0.0,0.0,11.9,352,15.09,2.71,988.8,3.2,257.0,25.202108,75.90713
RJ-KOT,2020-12-19,14.8,21.8,9.0,51,74,0.0,0.0,9.5,45,14.89,2.8,989.2,4.1,257.0,25.202108,75.90713
RJ-KOT,2020-12-20,16.6,23.3,9.1,50,83,0.0,0.0,8.4,30,14.33,2.72,989.4,5.6,257.0,25.202108,75.90713
RJ-KOT,2020-12-21,16.8,23.9,12.1,52,71,0.0,0.0,9.3,355,14.73,2.91,987.3,6.3,257.0,25.202108,75.90713
RJ-KOT,2020-12-22,17.1,23.5,9.1,55,94,0.0,0.0,8.0,80,12.32,2.5,985.6,7.4,257.0,25.202108,75.90713
RJ-KOT,2020-12-23,16.8,24.6,9.2,61,98,0.0,0.0,10.8,72,14.44,2.89,984.1,8.6,257.0,25.202108,75.90713
RJ-KOT,2020-12-24,17.3,25.0,10.4,64,96,0.0,0.0,12.8,58,14.33,2.94,984.2,9.7,257.0,25.202108,75.90713
RJ-KOT,2020-12-25,16.7,24.4,10.7,61,86,0.0,0.0,10.5,84,14.52,3.02,985.9,8.5,257.0,25.202108,75.90713
RJ-KOT,2020-12-26,17.0,25.3,10.3,60,85,0.0,0.0,10.9,103,14.48,3.04,985.4,8.5,257.0,25.202108,75.90713
RJ-KOT,2020-12-27,17.7,26.0,11.5,60,82,0.0,0.0,15.4,333,14.34,3.24,983.1,9.3,257.0,25.202108,75.90713
